ticker,sic_description,sec_name
GTN,Television Broadcasting Stations,"GRAY MEDIA, INC"
GWRE,Services-Prepackaged Software,"Guidewire Software, Inc."
HBB,Electric Housewares & Fans,Hamilton Beach Brands Holding Co
HBM,Metal Mining,Hudbay Minerals Inc.
HCC,Silver Ores,"WARRIOR MET COAL, INC."
HELE,Electric Housewares & Fans,HELEN OF TROY LTD
HELP,Pharmaceutical Preparations,CYBIN INC.
HIMS,Services-Offices & Clinics of  Doctors of  Medicine,"Hims & Hers Health, Inc."
HIMX,Semiconductors & Related Devices,"Himax Technologies, Inc."
HIVE,Finance Services,HIVE Digital Technologies Ltd.
HL,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),HECLA MINING CO/DE/
HLNE,Investment Advice,Hamilton Lane INC
HNGE,Services-Computer Processing & Data Preparation,"Hinge Health, Inc."
HNST,Retail-Catalog & Mail-Order Houses,"Honest Company, Inc."
HOOD,"Security Brokers, Dealers & Flotation Companies","Robinhood Markets, Inc."
HP,Drilling Oil & Gas Wells,"Helmerich & Payne, Inc."
HPE,Computer & office Equipment,Hewlett Packard Enterprise Co
HPK,Drilling Oil & Gas Wells,"HighPeak Energy, Inc."
HPP,Real Estate,"Hudson Pacific Properties, Inc."
HPQ,Computer & office Equipment,HP INC
HRB,Services-Personal Services,H&R BLOCK INC
HTFL,Surgical & Medical Instruments & Apparatus,"Heartflow, Inc."
HUBS,Services-Prepackaged Software,HUBSPOT INC
HUIZ,"Insurance Agents, Brokers & Service",Huize Holding Ltd
HUT,Finance Services,Hut 8 Corp.
HYLN,Truck & Bus Bodies,Hyliion Holdings Corp.
IAG,Gold and Silver Ores,IAMGOLD CORP
IART,Surgical & Medical Instruments & Apparatus,INTEGRA LIFESCIENCES HOLDINGS CORP
IAUX,Gold and Silver Ores,i-80 Gold Corp.
IBRX,"Biological Products, (No Diagnostic Substances)","ImmunityBio, Inc."
IBTA,Services-Advertising,"Ibotta, Inc."
ICLR,Services-Commercial Physical & Biological Research,ICON PLC
IFRX,Pharmaceutical Preparations,InflaRx N.V.
ILMN,Laboratory Analytical Instruments,"ILLUMINA, INC."
IMAX,Photographic Equipment & Supplies,IMAX CORP
IMMX,Pharmaceutical Preparations,"Immix Biopharma, Inc."
IMNM,Pharmaceutical Preparations,Immunome Inc.
IMOS,Semiconductors & Related Devices,CHIPMOS TECHNOLOGIES INC
IMRN,Pharmaceutical Preparations,Immuron Ltd
IMVT,"Biological Products, (No Diagnostic Substances)","Immunovant, Inc."
INBX,"Biological Products, (No Diagnostic Substances)","Inhibrx Biosciences, Inc."
INDI,Semiconductors & Related Devices,"indie Semiconductor, Inc."
INFQ,Services-Computer Processing & Data Preparation,"Infleqtion, Inc."
INHD,"Retail-Retail Stores, NEC",INNO HOLDINGS INC.
INO,Pharmaceutical Preparations,"INOVIO PHARMACEUTICALS, INC."
INR,Crude Petroleum & Natural Gas,"INFINITY NATURAL RESOURCES, INC."
INSP,Surgical & Medical Instruments & Apparatus,"Inspire Medical Systems, Inc."
INTA,Services-Prepackaged Software,"Intapp, Inc."
INTC,Semiconductors & Related Devices,INTEL CORP
INTG,Operators of  Apartment Buildings,INTERGROUP CORP
IOT,Services-Computer Integrated Systems Design,Samsara Inc.
IOVA,"Biological Products, (No Diagnostic Substances)","IOVANCE BIOTHERAPEUTICS, INC."
IPST,Beverages,"IP STRATEGY HOLDINGS, INC."
IRD,Pharmaceutical Preparations,"Opus Genetics, Inc."
IREN,Finance Services,IREN Ltd
IRWD,Pharmaceutical Preparations,IRONWOOD PHARMACEUTICALS INC
IT,Services-Management Services,GARTNER INC
ITRG,Gold and Silver Ores,Integra Resources Corp.
JACK,Retail-Eating  Places,JACK IN THE BOX INC
JANX,Pharmaceutical Preparations,"Janux Therapeutics, Inc."
JBIO,Pharmaceutical Preparations,"Jade Biosciences, Inc."
JELD,"Millwood, Veneer, Plywood, & Structural Wood Members","JELD-WEN Holding, Inc."
JMIA,Retail-Catalog & Mail-Order Houses,Jumia Technologies AG
JWEL,Retail-Nonstore Retailers,Jowell Global Ltd.
KEEL,Finance Services,Keel Infrastructure Corp.
KFRC,Services-Help Supply Services,KFORCE INC
KIDS,Surgical & Medical Instruments & Apparatus,ORTHOPEDIATRICS CORP
KLAC,Optical Instruments & Lenses,KLA CORP
KMTS,Surgical & Medical Instruments & Apparatus,"KESTRA MEDICAL TECHNOLOGIES, LTD."
KOPN,Semiconductors & Related Devices,KOPIN CORP
KOS,Crude Petroleum & Natural Gas,Kosmos Energy Ltd.
KRO,Industrial Inorganic Chemicals,KRONOS WORLDWIDE INC
KRT,"Plastics Products, NEC",Karat Packaging Inc.
KSS,Retail-Department Stores,KOHLS Corp
KURA,Pharmaceutical Preparations,"Kura Oncology, Inc."
KVYO,Services-Prepackaged Software,"Klaviyo, Inc."
KYMR,"Biological Products, (No Diagnostic Substances)","Kymera Therapeutics, Inc."
KZIA,Pharmaceutical Preparations,KAZIA THERAPEUTICS LTD
LASE,"Miscellaneous Electrical Machinery, Equipment & Supplies",Laser Photonics Corp
LB,Oil Royalty Traders,LandBridge Co LLC
LBRX,Pharmaceutical Preparations,LB PHARMACEUTICALS INC
LFST,Services-Health Services,"LifeStance Health Group, Inc."
LHAI,Real Estate Agents & Managers (For Others),Linkhome Holdings Inc.
LIFE,"Insurance Agents, Brokers & Service",Ethos Technologies Inc.
LIND,Transportation Services,"LINDBLAD EXPEDITIONS HOLDINGS, INC."
LITE,"Communications Equipment, NEC",Lumentum Holdings Inc.
LMRI,Services-Medical Laboratories,"Lumexa Imaging Holdings, Inc."
LPG,Deep Sea Foreign Transportation of  Freight,DORIAN LPG LTD.
LQDA,Pharmaceutical Preparations,Liquidia Corp
LRCX,"Special Industry Machinery, NEC",LAM RESEARCH CORP
LXRX,Pharmaceutical Preparations,"LEXICON PHARMACEUTICALS, INC."
LYFT,"Services-Business Services, NEC","Lyft, Inc."
LZ,Services-Computer Processing & Data Preparation,"LEGALZOOM.COM, INC."
MAAS,Investment Advice,Maase Inc.
MAKO,Gold and Silver Ores,Mako Mining Corp.
MAN,Services-Help Supply Services,ManpowerGroup Inc.
MARA,Finance Services,"MARA Holdings, Inc."
